id,title,year
65999,"The Hammer of God",1970
66001,"The Looking Glass War",1970
66002,Loot,1970
66004,"Piao xiang jian yu",1977
66005,"Yu lou chun meng",1970
66006,"Lotte in Italia",1971
66007,"Sign of Aquarius",1970
66009,"Love Me Like I Do",1970
66010,"Hai wai qing ge",1970
66011,"Love Story",1970
66013,"Love Without End",1970
66014,"Love and Kisses",1971
66015,"Lovers and Other Relatives",1974
66016,"Lovers and Other Strangers",1970
66017,Loving,1970
66018,"Lucie and the Miracles",1970
66020,"Lucky Seven",1986
66021,"Lucky Seven Strike Again",1970
66022,"Luk královny Dorotky",1971
66023,Lupo!,1970
66024,"Lyckliga skitar",1970
66025,"The Liar",1970
66026,MASH,1970
66027,"Ma chi t'ha dato la patente?",1970
66029,"Macbeth Oper von Rosa von Praunheim",1971
66031,Machibuse,1970
66032,"Machismo: 40 Graves for 40 Guns",1971
66033,"Macho Callahan",1970
66034,Madron,1970
66035,"The Falcons",1970
66036,"The Magic Garden of Stanley Sweetheart",1970
66037,"Den magiska cirkeln",1970
66038,"The Magnificent Robin Hood",1970
66040,"Don't Deliver Us from Evil",1971
66041,"The House of the Bories",1970
66042,"The House",1970
66043,"The Making of 'Butch Cassidy and the Sundance Kid'",1970
66045,"Il tuo dolce corpo da uccidere",1970
66047,"A Maluquinha de Arroios",1970
66048,Maly,1970
66049,"A Man Called Horse",1970
66050,"A Man Called Sledge",1970
66052,"The Man Who Had Power Over Women",1970
66053,"The Man Who Haunted Himself",1970
66056,"The Man from O.R.G.Y.",1970
66058,"Mark of the Witch",1970
66063,"Bedroom Mazurka",1970
66064,"The McKenzie Break",1970
66066,"My Father, the Ape and I",1971
66067,"My Zero Hour",1970
66070,"Mera Naam Joker",1970
66071,"More About the Language of Love",1970
66072,"Temperate Zone",1970
66073,"Los meses y los días",1973
66074,Metamorfosis,1970
66075,Metello,1970
66076,"El metiche",1972
66077,"Moon and Midnight",1970
66078,"Michael the Brave",1970
66080,"The Mind of Mr. Soames",1970
66081,"Good-Bye Nana",1970
66082,Mio,1972
66083,"Mir hat es immer Spaß gemacht",1970
66085,"Santo contra los asesinos de la mafia",1970
66086,"Miss Nymphet's Zap-In",1970
66087,"El misterio de la vida",1970
66089,"The Modification",1970
66090,"The Molly Maguires",1970
66091,"Mon shwe yee",1970
66093,"Monte Walsh",1970
66094,"El monumento",1970
66095,Moonfire,1970
66096,"The Moonshine War",1970
66098,"Death Occurred Last Night",1970
66099,"Up Your Teddy Bear",1970
66101,"Mourir d'aimer...",1971
66102,Move,1970
66104,"She Killed in Ecstasy",1971
66106,"La mujer celosa",1970
66108,"Atlantic Wall",1970
66109,"The Music Lovers",1971
66110,"Musik, Musik - da wackelt die Penne",1970
66111,"Muz, ktery rozdaval smich",1971
66112,"Mwana keba",1970
66113,"My Lover, My Son",1970
66115,"Myra Breckinridge",1970
66116,"The Brutes",1970
66117,"De många sängarna",1970
66118,"Le mépris n'aura qu'un temps",1970
