id,name,birth
771,"Lysette Anthony",1963
772,"Susan Anton",1950
773,"Laura Antonelli",1941
774,"Michelangelo Antonioni",1912
775,"Christina Applegate",1971
776,"Michael Apted",1941
777,"Gregg Araki",1959
778,"Alfonso Arau",1932
779,"Roscoe 'Fatty' Arbuckle",1887
780,"Denys Arcand",1941
781,"Eve Arden",1908
782,"Asia Argento",1975
783,"Dario Argento",1940
786,"George Armitage",1942
787,"Bess Armstrong",1953
788,"Gillian Armstrong",1950
789,"Desi Arnaz",1917
790,"James Arness",1923
791,"Jack Arnold",1916
792,"Tom Arnold",1959
793,"Alexis Arquette",1969
794,"Lewis Arquette",1935
795,"Jean Arthur",1900
796,"Dana Ashbrook",1967
797,"Hal Ashby",1929
798,"Linden Ashby",1960
799,"Edward Asner",1929
800,"Armand Assante",1949
801,"Olivier Assayas",1955
802,"Mary Astor",1906
803,"Christopher Atkins",1961
804,"Stéphane Audran",1932
805,"Claudine Auger",1941
806,"Bille August",1948
807,"Jane Austen",1775
808,"Paul Auster",1947
809,"Daniel Auteuil",1950
810,"Gene Autry",1907
811,"Frankie Avalon",1940
812,"Roger Avary",1965
813,"Tex Avery",1908
814,"John G. Avildsen",1935
815,"Mili Avital",1972
816,"Jon Avnet",1949
817,"Lew Ayres",1908
818,"Shabana Azmi",1950
819,"Barbara Bach",1947
820,"Burt Bacharach",1928
821,"Amitabh Bachchan",1942
822,"Jim Backus",1913
823,"Angelo Badalamenti",1937
824,"John Badham",1939
825,"Mary Badham",1952
826,"Jane Badler",1953
827,"Maxine Bahns",1971
828,"Barbara Bain",1931
829,"Stuart Baird",1947
832,"Diane Baker",1938
833,"Joe Don Baker",1936
834,"Kathy Baker",1950
835,"Ralph Bakshi",1938
836,"Scott Bakula",1954
837,"Bob Balaban",1945
838,"Daniel Baldwin",1960
839,"Ina Balin",1937
840,"Lucille Ball",1911
841,"Michael Ballhaus",1935
842,"Martin Balsam",1919
843,"Anne Bancroft",1931
844,"Tamasaburô Bandô",1950
845,"Tallulah Bankhead",1902
846,"Ian Bannen",1928
847,"Theda Bara",1885
848,"Olivia Barash",1965
849,"Javier Bardem",1969
850,"Clive Barker",1952
851,"Lex Barker",1919
852,"Jean-Marc Barr",1960
853,"Bruno Barreto",1955
854,"Majel Barrett",1932
855,"Raymond J. Barry",1939
857,"John Drew Barrymore",1932
858,"John Barrymore",1882
859,"Lionel Barrymore",1878
860,"Paul Bartel",1938
862,"Robin Bartlett",1951
863,"Billy Barty",1924
864,"Mikhail Baryshnikov",1948
865,"Richard Basehart",1914
866,"Saul Bass",1920
867,"Jason Bateman",1969
868,"Justine Bateman",1966
869,"Alan Bates",1934
870,"Kathy Bates",1948
871,"Randall Batinkoff",1968
872,"Patrick Bauchau",1938
873,"Belinda Bauer",1950
874,"Steven Bauer",1956
875,"L. Frank Baum",1856
876,"Noah Baumbach",1969
877,"Lamberto Bava",1944
878,"Mario Bava",1914
879,"Anne Baxter",1923
880,"Meredith Baxter",1947
881,"Michael Bay",1965
882,"Nathalie Baye",1948
883,"Stephanie Beacham",1947
884,"Jennifer Beals",1963
885,"Ned Beatty",1937
886,"Warren Beatty",1937
887,"Harold Becker",1928
888,"Meret Becker",1969
889,"Bonnie Bedelia",1948
890,"Noah Beery Jr.",1913
891,"Wallace Beery",1885
892,"Jason Beghe",1960
893,"Ed Begley Jr.",1949
894,"Jean-Jacques Beineix",1946
895,"Barbara Bel Geddes",1922
896,"Harry Belafonte",1927
897,"Ralph Bellamy",1904
898,"Kathleen Beller",1956
899,"Monica Bellucci",1964
900,"Pamela Bellwood",1951
901,"Jean-Paul Belmondo",1933
902,"Jim Belushi",1954
903,"Brian Benben",1956
904,"William Bendix",1906
905,"Roberto Benigni",1952
906,"Annette Bening",1958
907,"Richard Benjamin",1938
908,"David Bennent",1966
911,"Nigel Bennett",1949
912,"Jack Benny",1894
913,"Robby Benson",1956
914,"Robert Benton",1932
915,"Bruce Beresford",1940
916,"Peter Berg",1964
917,"Polly Bergen",1930
918,"Helmut Berger",1944
919,"Senta Berger",1941
920,"Patrick Bergin",1951
921,"Andrew Bergman",1945
922,"Sandahl Bergman",1951
924,"Elizabeth Berkley",1972
925,"Steven Berkoff",1937
926,"Milton Berle",1908
928,"Sandra Bernhard",1955
929,"Corbin Bernsen",1954
930,"Elmer Bernstein",1922
931,"Elizabeth Berridge",1962
932,"Halle Berry",1966
933,"Valerie Bertinelli",1960
934,"Bernardo Bertolucci",1941
935,"Bibi Besch",1942
936,"Martine Beswick",1941
937,"Richard Beymer",1938
938,"Daniela Bianchi",1942
939,"Adrian Biddle",1952
940,"Bigas Luna",1946
941,"Kathryn Bigelow",1951
942,"Theodore Bikel",1924
943,"Traci Bingham",1968
944,"Antonia Bird",1951
945,"Jane Birkin",1946
946,"Whit Bissell",1909
947,"Karen Black",1939
948,"Shane Black",1961
949,"Cate Blanchett",1969
950,"Brenda Blethyn",1946
951,"Joan Blondell",1906
952,"Hart Bochner",1956
953,"Peter Bogdanovich",1939
954,"Jon Bon Jovi",1962
955,"Ward Bond",1903
956,"Lisa Bonet",1967
957,"Jan de Bont",1943
958,"John Boorman",1933
959,"Powers Boothe",1948
960,"Barry Bostwick",1945
961,"Timothy Bottoms",1951
962,"Carole Bouquet",1957
963,"Stephen Boyd",1931
964,"Charles Boyer",1899
965,"Danny Boyle",1956
966,"Lorraine Bracco",1954
967,"Eric Braeden",1941
968,"Sônia Braga",1950
969,"Lillo Brancato",1976
970,"Jonathan Brandis",1976
971,"Nicoletta Braschi",1960
972,"Tinto Brass",1933
973,"Benjamin Bratt",1963
974,"Walter Brennan",1894
975,"Robert Bresson",1901
